,dong,per price
아현동,1144010100,26427202
공덕동,1144010200,21764240
신공덕동,1144010300,25635697
도화동,1144010400,20690426
용강동,1144010500,37924038
토정동,1144010600,32250000
마포동,1144010700,19504804
대흥동,1144010800,28628065
염리동,1144010900,31728089
노고산동,1144011000,14521535
신수동,1144011100,27610935
현석동,1144011200,34426228
구수동,1144011300,0
창전동,1144011400,25566857
상수동,1144011500,21558970
하중동,1144011600,29183673
신정동,1144011700,19791994
당인동,1144011800,0
서교동,1144012000,16664574
동교동,1144012100,11840801
합정동,1144012200,23315415
망원동,1144012300,19694090
연남동,1144012400,20196424
성산동,1144012500,15767527
중동,1144012600,21744539
상암동,1144012700,21687972
